GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab,ua.lviv.iot.algo.part1.lab1,Garden,0,32,0,0,0,6,0,7,0,7
lab,ua.lviv.iot.algo.part1.lab1,BotanicGarden,0,32,0,0,0,10,0,8,0,8
lab,ua.lviv.iot.algo.part1.lab1,Gorod,0,15,0,0,0,6,0,5,0,5
lab,ua.lviv.iot.algo.part1.lab1,Clumba,0,15,0,0,0,6,0,5,0,5
lab,ua.lviv.iot.algo.part1.lab1,WorkUniversytiGarden,0,32,0,0,0,10,0,8,0,8
lab,ua.lviv.iot.algo.part1.lab1,GardenManager,22,41,8,0,4,9,6,6,2,6
